"lab","sample","concentration","method","transit_time"
14,547,72.3,"IDS RIA",1
14,548,92.9,"IDS RIA",1
14,549,65.6,"IDS RIA",1
14,550,31.5,"IDS RIA",1
15,546,53,"Roche Total 25OHD",9
15,547,83,"Roche Total 25OHD",9
15,548,97,"Roche Total 25OHD",9
15,549,62,"Roche Total 25OHD",9
15,550,25,"Roche Total 25OHD",9
16,546,48,"Abbott Architect - New (5P02)",7
16,547,70,"Abbott Architect - New (5P02)",7
16,548,88,"Abbott Architect - New (5P02)",7
16,549,56,"Abbott Architect - New (5P02)",7
16,550,22,"Abbott Architect - New (5P02)",7
17,546,56,"LC-MS-MS",2
17,547,75,"LC-MS-MS",2
17,548,91,"LC-MS-MS",2
17,549,61,"LC-MS-MS",2
17,550,26,"LC-MS-MS",2
18,546,49.8,"Abbott Architect - New (5P02)",14
18,547,69.8,"Abbott Architect - New (5P02)",14
18,548,91.3,"Abbott Architect - New (5P02)",14
18,549,60.8,"Abbott Architect - New (5P02)",14
18,550,22.8,"Abbott Architect - New (5P02)",14
19,546,52,"DiaSorin Liaison Total",10
19,547,67,"DiaSorin Liaison Total",10
19,548,91,"DiaSorin Liaison Total",10
19,549,62,"DiaSorin Liaison Total",10
19,550,27,"DiaSorin Liaison Total",10
20,546,44.3,"Roche Vitamin D Total II",6
20,547,67,"Roche Vitamin D Total II",6
20,548,80.3,"Roche Vitamin D Total II",6
20,549,57.5,"Roche Vitamin D Total II",6
20,550,26.8,"Roche Vitamin D Total II",6
21,546,53.4,"Abbott Architect - New (5P02)",12
21,547,66.9,"Abbott Architect - New (5P02)",12
21,548,95.7,"Abbott Architect - New (5P02)",12
21,549,60.6,"Abbott Architect - New (5P02)",12
21,550,22.5,"Abbott Architect - New (5P02)",12
22,546,56,"LC-MS-MS",12
22,547,83,"LC-MS-MS",12
22,548,106,"LC-MS-MS",12
22,549,71,"LC-MS-MS",12
22,550,25,"LC-MS-MS",12
23,546,54,"Roche Total 25OHD",1
23,547,86,"Roche Total 25OHD",1
23,548,103,"Roche Total 25OHD",1
23,549,62,"Roche Total 25OHD",1
23,550,23,"Roche Total 25OHD",1
24,546,64.5,"IDS-iSYS",7
24,547,68,"IDS-iSYS",7
24,548,90,"IDS-iSYS",7
24,549,64.8,"IDS-iSYS",7
24,550,28,"IDS-iSYS",7
25,546,46.9,"Roche Vitamin D Total II",8
25,547,67.4,"Roche Vitamin D Total II",8
25,548,86.3,"Roche Vitamin D Total II",8
25,549,57.8,"Roche Vitamin D Total II",8
25,550,21.4,"Roche Vitamin D Total II",8
26,546,48.6,"LC-MS-MS",1
26,547,68.8,"LC-MS-MS",1
26,548,83.8,"LC-MS-MS",1
26,549,57.6,"LC-MS-MS",1
26,550,21.4,"LC-MS-MS",1
27,546,51.9,"LC-MS-MS",7
27,547,73.2,"LC-MS-MS",7
27,548,91.9,"LC-MS-MS",7
27,549,64.2,"LC-MS-MS",7
27,550,25.6,"LC-MS-MS",7
28,546,55.7,"DiaSorin Liaison Total",4
28,547,73.1,"DiaSorin Liaison Total",4
28,548,93,"DiaSorin Liaison Total",4
28,549,68.1,"DiaSorin Liaison Total",4
28,550,29.2,"DiaSorin Liaison Total",4
29,546,56.7,"Roche Total 25OHD",3
29,547,91.1,"Roche Total 25OHD",3
29,548,100.9,"Roche Total 25OHD",3
29,549,65,"Roche Total 25OHD",3
29,550,23.4,"Roche Total 25OHD",3
30,546,54,"Roche Total 25OHD",7
30,547,80,"Roche Total 25OHD",7
30,548,100,"Roche Total 25OHD",7
30,549,62,"Roche Total 25OHD",7
30,550,25,"Roche Total 25OHD",7
31,546,50,"LC-MS-MS",8
31,547,56,"LC-MS-MS",8
31,548,75,"LC-MS-MS",8
31,549,58,"LC-MS-MS",8
31,550,26,"LC-MS-MS",8
32,546,56,"DiaSorin Liaison Total",6
32,547,78,"DiaSorin Liaison Total",6
32,548,98,"DiaSorin Liaison Total",6
32,549,73,"DiaSorin Liaison Total",6
32,550,32,"DiaSorin Liaison Total",6
33,546,51.5,"Beckman Access2 Total 25OHD",8
33,547,72.9,"Beckman Access2 Total 25OHD",8
33,548,89.5,"Beckman Access2 Total 25OHD",8
33,549,59.1,"Beckman Access2 Total 25OHD",8
33,550,28.6,"Beckman Access2 Total 25OHD",8
34,546,50.1,"LC-MS-MS",1
34,547,66.9,"LC-MS-MS",1
34,548,87.1,"LC-MS-MS",1
34,549,61.2,"LC-MS-MS",1
34,550,23.2,"LC-MS-MS",1
35,546,88,"Roche Total 25OHD",8
35,547,56,"Roche Total 25OHD",8
35,548,98,"Roche Total 25OHD",8
35,549,61,"Roche Total 25OHD",8
35,550,26,"Roche Total 25OHD",8
36,546,51.5,"Abbott Architect - New (5P02)",9
36,547,68.2,"Abbott Architect - New (5P02)",9
36,548,95.8,"Abbott Architect - New (5P02)",9
36,549,62.5,"Abbott Architect - New (5P02)",9
36,550,24.8,"Abbott Architect - New (5P02)",9
37,546,53,"DiaSorin Liaison Total",12
37,547,78,"DiaSorin Liaison Total",12
37,548,98,"DiaSorin Liaison Total",12
37,549,75,"DiaSorin Liaison Total",12
37,550,33,"DiaSorin Liaison Total",12
38,546,48,"Roche Total 25OHD",1
38,547,78,"Roche Total 25OHD",1
38,548,96,"Roche Total 25OHD",1
38,549,59,"Roche Total 25OHD",1
38,550,21,"Roche Total 25OHD",1
39,546,45.9,"IDS EIA",1
39,547,62.2,"IDS EIA",1
39,548,78.1,"IDS EIA",1
39,549,56.6,"IDS EIA",1
39,550,26,"IDS EIA",1
40,546,48.8,"Roche Vitamin D Total II",4
40,547,69.5,"Roche Vitamin D Total II",4
40,548,82.5,"Roche Vitamin D Total II",4
40,549,61.8,"Roche Vitamin D Total II",4
40,550,26.8,"Roche Vitamin D Total II",4
41,546,36.9,"DiaSorin Liaison Total",21
41,547,48.5,"DiaSorin Liaison Total",21
41,548,63.3,"DiaSorin Liaison Total",21
41,549,46.5,"DiaSorin Liaison Total",21
41,550,18,"DiaSorin Liaison Total",21
42,546,70.2,"LC-MS-MS",8
42,547,103,"LC-MS-MS",8
42,548,126.2,"LC-MS-MS",8
42,549,90,"LC-MS-MS",8
42,550,32.3,"LC-MS-MS",8
43,546,57,"Beckman Unicel Dxi Total 25OHD",1
43,547,81,"Beckman Unicel Dxi Total 25OHD",1
43,548,88,"Beckman Unicel Dxi Total 25OHD",1
43,549,58,"Beckman Unicel Dxi Total 25OHD",1
43,550,26,"Beckman Unicel Dxi Total 25OHD",1
44,546,58,"LC-MS-MS",11
44,547,81,"LC-MS-MS",11
44,548,104,"LC-MS-MS",11
44,549,66,"LC-MS-MS",11
44,550,24,"LC-MS-MS",11
45,546,53,"Roche Total 25OHD",1
45,547,81.6,"Roche Total 25OHD",1
45,548,99.6,"Roche Total 25OHD",1
45,549,58.3,"Roche Total 25OHD",1
45,550,23.9,"Roche Total 25OHD",1
46,546,48,"Fujirebio Lumipulse G 25OH Vit D",13
46,547,68,"Fujirebio Lumipulse G 25OH Vit D",13
46,548,82,"Fujirebio Lumipulse G 25OH Vit D",13
46,549,55,"Fujirebio Lumipulse G 25OH Vit D",13
46,550,18,"Fujirebio Lumipulse G 25OH Vit D",13
47,546,54,"LC-MS-MS",17
47,547,74,"LC-MS-MS",17
47,548,93,"LC-MS-MS",17
47,549,66,"LC-MS-MS",17
47,550,26,"LC-MS-MS",17
48,546,47.1,"LC-MS-MS",9
48,547,67,"LC-MS-MS",9
48,548,87.6,"LC-MS-MS",9
48,549,55,"LC-MS-MS",9
48,550,23.3,"LC-MS-MS",9
49,546,49.3,"Roche Total 25OHD",11
49,547,73.5,"Roche Total 25OHD",11
49,548,87.3,"Roche Total 25OHD",11
49,549,63.3,"Roche Total 25OHD",11
49,550,27.8,"Roche Total 25OHD",11
50,546,58,"LC-MS-MS",4
50,547,65,"LC-MS-MS",4
50,548,83,"LC-MS-MS",4
50,549,58,"LC-MS-MS",4
50,550,28,"LC-MS-MS",4
51,546,51,"Roche Vitamin D Total II",1
51,547,67,"Roche Vitamin D Total II",1
51,548,82,"Roche Vitamin D Total II",1
51,549,58,"Roche Vitamin D Total II",1
51,550,27,"Roche Vitamin D Total II",1
52,546,51.8,"DiaSorin Liaison Total",14
52,547,71.8,"DiaSorin Liaison Total",14
52,548,92,"DiaSorin Liaison Total",14
52,549,64.3,"DiaSorin Liaison Total",14
52,550,25.3,"DiaSorin Liaison Total",14
53,546,47.9,"IDS-iSYS",1
53,547,54,"IDS-iSYS",1
53,548,74.5,"IDS-iSYS",1
53,549,58.1,"IDS-iSYS",1
53,550,20.7,"IDS-iSYS",1
54,546,50,"HPLC",8
54,547,78,"HPLC",8
54,548,98,"HPLC",8
54,549,60,"HPLC",8
54,550,28,"HPLC",8
55,546,52,"LC-MS-MS",1
55,547,73,"LC-MS-MS",1
55,548,86,"LC-MS-MS",1
55,549,72,"LC-MS-MS",1
55,550,23,"LC-MS-MS",1
56,546,62.7,"DiaSorin Liaison Total",9
56,547,72.9,"DiaSorin Liaison Total",9
56,548,106,"DiaSorin Liaison Total",9
56,549,77.6,"DiaSorin Liaison Total",9
56,550,35.8,"DiaSorin Liaison Total",9
57,546,63,"IDS-iSYS New",6
57,547,84,"IDS-iSYS New",6
57,548,110,"IDS-iSYS New",6
57,549,76,"IDS-iSYS New",6
57,550,30,"IDS-iSYS New",6
58,546,62,"Roche Total 25OHD",22
58,547,90,"Roche Total 25OHD",22
58,548,111,"Roche Total 25OHD",22
58,549,72,"Roche Total 25OHD",22
58,550,32,"Roche Total 25OHD",22
59,546,49,"Beckman Access2 Total 25OHD",2
59,547,72,"Beckman Access2 Total 25OHD",2
59,548,79,"Beckman Access2 Total 25OHD",2
59,549,57,"Beckman Access2 Total 25OHD",2
59,550,25,"Beckman Access2 Total 25OHD",2
60,546,52.8,"DiaSorin Liaison Total",6
60,547,69.8,"DiaSorin Liaison Total",6
60,548,84.5,"DiaSorin Liaison Total",6
60,549,65.4,"DiaSorin Liaison Total",6
60,550,28.3,"DiaSorin Liaison Total",6
61,546,57.2,"LC-MS-MS",1
61,547,78.5,"LC-MS-MS",1
61,548,95.3,"LC-MS-MS",1
61,549,62.5,"LC-MS-MS",1
61,550,25.9,"LC-MS-MS",1
62,546,51.5,"Abbott Architect - New (5P02)",7
62,547,73.5,"Abbott Architect - New (5P02)",7
62,548,97,"Abbott Architect - New (5P02)",7
62,549,61,"Abbott Architect - New (5P02)",7
62,550,24.3,"Abbott Architect - New (5P02)",7
63,546,57.5,"DiaSorin Liaison Total",6
63,547,66.8,"DiaSorin Liaison Total",6
63,548,98,"DiaSorin Liaison Total",6
63,549,67.8,"DiaSorin Liaison Total",6
63,550,26.3,"DiaSorin Liaison Total",6
64,546,55.9,"DiaSorin Liaison Total",21
64,547,78.6,"DiaSorin Liaison Total",21
64,548,85.1,"DiaSorin Liaison Total",21
64,549,67.1,"DiaSorin Liaison Total",21
64,550,27.4,"DiaSorin Liaison Total",21
65,546,59.1,"Siemens ADVIA Centaur",9
65,547,66.3,"Siemens ADVIA Centaur",9
65,548,85.8,"Siemens ADVIA Centaur",9
65,549,67.5,"Siemens ADVIA Centaur",9
65,550,23.7,"Siemens ADVIA Centaur",9
66,546,47,"LC-MS-MS",7
66,547,68.7,"LC-MS-MS",7
66,548,85.5,"LC-MS-MS",7
66,549,69.2,"LC-MS-MS",7
66,550,23,"LC-MS-MS",7
67,546,51,"LC-MS-MS",11
67,547,69.4,"LC-MS-MS",11
67,548,86.1,"LC-MS-MS",11
67,549,60.4,"LC-MS-MS",11
67,550,20.2,"LC-MS-MS",11
68,546,51.1,"LC-MS-MS",8
68,547,72,"LC-MS-MS",8
68,548,88.9,"LC-MS-MS",8
68,549,61.2,"LC-MS-MS",8
68,550,22.3,"LC-MS-MS",8
69,546,53,"LC-MS-MS",22
69,547,72.3,"LC-MS-MS",22
69,548,91.6,"LC-MS-MS",22
69,549,64.2,"LC-MS-MS",22
69,550,24.6,"LC-MS-MS",22
70,546,50.6,"DiaSorin Liaison Total",10
70,547,64.1,"DiaSorin Liaison Total",10
70,548,82.1,"DiaSorin Liaison Total",10
70,549,59.1,"DiaSorin Liaison Total",10
70,550,26,"DiaSorin Liaison Total",10
71,546,51.1,"Beckman Unicel Dxi Total 25OHD",23
71,547,64.2,"Beckman Unicel Dxi Total 25OHD",23
71,548,84.6,"Beckman Unicel Dxi Total 25OHD",23
71,549,52.8,"Beckman Unicel Dxi Total 25OHD",23
71,550,21.9,"Beckman Unicel Dxi Total 25OHD",23
72,546,50,"LC-MS-MS",8
72,547,57.5,"LC-MS-MS",8
72,548,90,"LC-MS-MS",8
72,549,62.5,"LC-MS-MS",8
72,550,27.5,"LC-MS-MS",8
73,546,49.7,"HPLC",7
73,547,70.1,"HPLC",7
73,548,80.5,"HPLC",7
73,549,53.2,"HPLC",7
73,550,20.6,"HPLC",7
74,546,46,"Siemens ADVIA Centaur",7
74,547,59,"Siemens ADVIA Centaur",7
74,548,86,"Siemens ADVIA Centaur",7
74,549,59,"Siemens ADVIA Centaur",7
74,550,25,"Siemens ADVIA Centaur",7
75,546,54.3,"DiaSorin Liaison Total",8
75,547,76.6,"DiaSorin Liaison Total",8
75,548,90.6,"DiaSorin Liaison Total",8
75,549,66,"DiaSorin Liaison Total",8
75,550,28.3,"DiaSorin Liaison Total",8
76,546,48.1,"LC-MS-MS",12
76,547,71,"LC-MS-MS",12
76,548,84.7,"LC-MS-MS",12
76,549,60.2,"LC-MS-MS",12
76,550,23.3,"LC-MS-MS",12
77,546,53,"LC-MS-MS",12
77,547,78,"LC-MS-MS",12
77,548,95,"LC-MS-MS",12
77,549,66,"LC-MS-MS",12
77,550,25,"LC-MS-MS",12
78,546,61.3,"IDS-iSYS New",9
78,547,76,"IDS-iSYS New",9
78,548,95.3,"IDS-iSYS New",9
78,549,67.8,"IDS-iSYS New",9
78,550,24.3,"IDS-iSYS New",9
79,546,49,"Abbott Architect - New (5P02)",1
79,547,70,"Abbott Architect - New (5P02)",1
79,548,93,"Abbott Architect - New (5P02)",1
79,549,62,"Abbott Architect - New (5P02)",1
79,550,23,"Abbott Architect - New (5P02)",1
80,546,55.8,"HPLC",7
80,547,78.5,"HPLC",7
80,548,102.8,"HPLC",7
80,549,69,"HPLC",7
80,550,28.1,"HPLC",7
81,546,66,"DiaSorin Liaison Total",8
81,547,80,"DiaSorin Liaison Total",8
81,548,100,"DiaSorin Liaison Total",8
81,549,74,"DiaSorin Liaison Total",8
81,550,31,"DiaSorin Liaison Total",8
82,546,53.6,"DiaSorin Liaison Total",9
82,547,70,"DiaSorin Liaison Total",9
82,548,89.1,"DiaSorin Liaison Total",9
82,549,64.7,"DiaSorin Liaison Total",9
82,550,29.2,"DiaSorin Liaison Total",9
83,546,59.5,"Siemens ADVIA Centaur",10
83,547,64.2,"Siemens ADVIA Centaur",10
83,548,79.5,"Siemens ADVIA Centaur",10
83,549,63.1,"Siemens ADVIA Centaur",10
83,550,27.9,"Siemens ADVIA Centaur",10
84,546,50,"Roche Vitamin D Total II",4
84,547,76.4,"Roche Vitamin D Total II",4
84,548,89.5,"Roche Vitamin D Total II",4
84,549,61.8,"Roche Vitamin D Total II",4
84,550,24.6,"Roche Vitamin D Total II",4
85,546,62.3,"Siemens ADVIA Centaur",7
85,547,80.3,"Siemens ADVIA Centaur",7
85,548,101.5,"Siemens ADVIA Centaur",7
85,549,69.3,"Siemens ADVIA Centaur",7
85,550,34.3,"Siemens ADVIA Centaur",7
86,546,49,"LC-MS-MS",7
86,547,75,"LC-MS-MS",7
86,548,86,"LC-MS-MS",7
86,549,59,"LC-MS-MS",7
86,550,23,"LC-MS-MS",7
87,546,58,"DiaSorin Liaison Total",6
87,547,72,"DiaSorin Liaison Total",6
87,548,104.5,"DiaSorin Liaison Total",6
87,549,69.5,"DiaSorin Liaison Total",6
87,550,29.3,"DiaSorin Liaison Total",6
88,546,55.2,"DiaSorin Liaison Total",4
88,547,73,"DiaSorin Liaison Total",4
88,548,92.2,"DiaSorin Liaison Total",4
88,549,67,"DiaSorin Liaison Total",4
88,550,29.5,"DiaSorin Liaison Total",4
89,546,41.5,"Euroimmun ELISA",4
89,547,65.8,"Euroimmun ELISA",4
89,548,72.3,"Euroimmun ELISA",4
89,549,48.5,"Euroimmun ELISA",4
89,550,21,"Euroimmun ELISA",4
90,546,53.3,"LC-MS-MS",4
90,547,74.1,"LC-MS-MS",4
90,548,85.5,"LC-MS-MS",4
90,549,61.6,"LC-MS-MS",4
90,550,25.5,"LC-MS-MS",4
91,546,64.1,"IDS-iSYS",4
91,547,73.5,"IDS-iSYS",4
91,548,91.6,"IDS-iSYS",4
91,549,71.4,"IDS-iSYS",4
91,550,29.8,"IDS-iSYS",4
92,546,59.8,"DiaSorin Liaison Total",8
92,547,69,"DiaSorin Liaison Total",8
92,548,95.8,"DiaSorin Liaison Total",8
92,549,63,"DiaSorin Liaison Total",8
92,550,30,"DiaSorin Liaison Total",8
93,546,50,"IDS-iSYS New",6
93,547,67.5,"IDS-iSYS New",6
93,548,90,"IDS-iSYS New",6
93,549,67.5,"IDS-iSYS New",6
93,550,25,"IDS-iSYS New",6
94,546,53.9,"Siemens ADVIA Centaur",4
94,547,76.1,"Siemens ADVIA Centaur",4
94,548,89.5,"Siemens ADVIA Centaur",4
94,549,68.3,"Siemens ADVIA Centaur",4
94,550,30.4,"Siemens ADVIA Centaur",4
95,546,55.7,"DiaSorin Liaison Total",6
95,547,75.1,"DiaSorin Liaison Total",6
95,548,102,"DiaSorin Liaison Total",6
95,549,73.7,"DiaSorin Liaison Total",6
95,550,31.2,"DiaSorin Liaison Total",6
96,546,57.1,"DiaSorin Liaison Total",6
96,547,76.6,"DiaSorin Liaison Total",6
96,548,91.1,"DiaSorin Liaison Total",6
96,549,66.7,"DiaSorin Liaison Total",6
96,550,28.5,"DiaSorin Liaison Total",6
97,546,50,"LC-MS-MS",2
97,547,72,"LC-MS-MS",2
97,548,89,"LC-MS-MS",2
97,549,59,"LC-MS-MS",2
97,550,23,"LC-MS-MS",2
98,546,68.5,"Siemens ADVIA Centaur",7
98,547,95.6,"Siemens ADVIA Centaur",7
98,548,105.4,"Siemens ADVIA Centaur",7
98,549,73.9,"Siemens ADVIA Centaur",7
98,550,44.6,"Siemens ADVIA Centaur",7
99,546,63,"Roche Total 25OHD",18
99,547,96,"Roche Total 25OHD",18
99,548,111,"Roche Total 25OHD",18
99,549,71,"Roche Total 25OHD",18
99,550,30,"Roche Total 25OHD",18
100,546,65.8,"DiaSorin Liaison Total",6
100,547,79.8,"DiaSorin Liaison Total",6
100,548,101,"DiaSorin Liaison Total",6
100,549,72,"DiaSorin Liaison Total",6
100,550,29.5,"DiaSorin Liaison Total",6
101,546,66.7,"Siemens ADVIA Centaur",6
101,547,62.6,"Siemens ADVIA Centaur",6
101,548,92.8,"Siemens ADVIA Centaur",6
101,549,56.5,"Siemens ADVIA Centaur",6
101,550,28.9,"Siemens ADVIA Centaur",6
102,546,8.3,"DiaSorin Liaison Total",4
102,547,10.7,"DiaSorin Liaison Total",4
102,548,13.2,"DiaSorin Liaison Total",4
102,549,10.7,"DiaSorin Liaison Total",4
102,550,4.2,"DiaSorin Liaison Total",4
103,546,59.8,"DiaSorin Liaison Total",7
103,547,83.3,"DiaSorin Liaison Total",7
103,548,101.8,"DiaSorin Liaison Total",7
103,549,74.8,"DiaSorin Liaison Total",7
103,550,32.5,"DiaSorin Liaison Total",7
104,546,54.4,"Siemens ADVIA Centaur",15
104,547,75.3,"Siemens ADVIA Centaur",15
104,548,94.9,"Siemens ADVIA Centaur",15
104,549,73.1,"Siemens ADVIA Centaur",15
104,550,35.6,"Siemens ADVIA Centaur",15
105,546,56.9,"LC-MS-MS",3
105,547,81.3,"LC-MS-MS",3
105,548,93.7,"LC-MS-MS",3
105,549,70.3,"LC-MS-MS",3
105,550,22.8,"LC-MS-MS",3
106,546,47.6,"Roche Vitamin D Total II",7
106,547,64.6,"Roche Vitamin D Total II",7
106,548,80,"Roche Vitamin D Total II",7
106,549,56.3,"Roche Vitamin D Total II",7
106,550,24.7,"Roche Vitamin D Total II",7
107,546,43,"Beckman Unicel Dxi Total 25OHD",4
107,547,64.8,"Beckman Unicel Dxi Total 25OHD",4
107,548,77.1,"Beckman Unicel Dxi Total 25OHD",4
107,549,47.9,"Beckman Unicel Dxi Total 25OHD",4
107,550,23.2,"Beckman Unicel Dxi Total 25OHD",4
108,546,46.1,"Unknown",15
108,547,56.9,"Unknown",15
108,548,81,"Unknown",15
108,549,55.4,"Unknown",15
108,550,18.4,"Unknown",15
109,546,62.3,"DiaSorin Liaison Total",4
109,547,89.8,"DiaSorin Liaison Total",4
109,548,108.3,"DiaSorin Liaison Total",4
109,549,79.3,"DiaSorin Liaison Total",4
109,550,36.3,"DiaSorin Liaison Total",4
110,546,49.4,"DiaSorin Liaison Total",6
110,547,75.6,"DiaSorin Liaison Total",6
110,548,93.1,"DiaSorin Liaison Total",6
110,549,64,"DiaSorin Liaison Total",6
110,550,30.9,"DiaSorin Liaison Total",6
111,546,48,"Abbott Architect - New (5P02)",8
111,547,69.8,"Abbott Architect - New (5P02)",8
111,548,90.3,"Abbott Architect - New (5P02)",8
111,549,56.3,"Abbott Architect - New (5P02)",8
111,550,22,"Abbott Architect - New (5P02)",8
112,546,49.3,"IDS-iSYS",5
112,547,67,"IDS-iSYS",5
112,548,79.5,"IDS-iSYS",5
112,549,54.5,"IDS-iSYS",5
112,550,21.3,"IDS-iSYS",5
113,546,51.7,"Abbott Alinity i",10
113,547,71.3,"Abbott Alinity i",10
113,548,93.4,"Abbott Alinity i",10
113,549,58.6,"Abbott Alinity i",10
113,550,21.1,"Abbott Alinity i",10
114,546,68.1,"IDS-iSYS",15
114,547,80.6,"IDS-iSYS",15
114,548,96.5,"IDS-iSYS",15
114,549,74.3,"IDS-iSYS",15
114,550,34.6,"IDS-iSYS",15
115,546,57.4,"DiaSorin Liaison Total",8
115,547,78.6,"DiaSorin Liaison Total",8
115,548,94.3,"DiaSorin Liaison Total",8
115,549,70.6,"DiaSorin Liaison Total",8
115,550,29.5,"DiaSorin Liaison Total",8
116,546,60.9,"DiaSorin Liaison Total",10
116,547,76.4,"DiaSorin Liaison Total",10
116,548,98,"DiaSorin Liaison Total",10
116,549,71.2,"DiaSorin Liaison Total",10
116,550,29.6,"DiaSorin Liaison Total",10
117,546,36.3,"LC-MS-MS",7
117,547,59,"LC-MS-MS",7
117,548,69,"LC-MS-MS",7
117,549,43.8,"LC-MS-MS",7
117,550,19,"LC-MS-MS",7
118,546,52.5,"LC-MS-MS",7
118,547,70,"LC-MS-MS",7
118,548,82.5,"LC-MS-MS",7
118,549,62.5,"LC-MS-MS",7
118,550,25,"LC-MS-MS",7
119,546,56.9,"DiaSorin Liaison Total",1
119,547,76,"DiaSorin Liaison Total",1
119,548,86.3,"DiaSorin Liaison Total",1
119,549,67.9,"DiaSorin Liaison Total",1
119,550,30.3,"DiaSorin Liaison Total",1
120,546,46.3,"HPLC",9
120,547,68.4,"HPLC",9
120,548,76.6,"HPLC",9
120,549,52.8,"HPLC",9
120,550,20.5,"HPLC",9
121,546,53,"IDS-iSYS",6
121,547,65.8,"IDS-iSYS",6
121,548,86.4,"IDS-iSYS",6
121,549,64,"IDS-iSYS",6
121,550,24.2,"IDS-iSYS",6
122,546,55.8,"DiaSorin Liaison Total",1
122,547,73,"DiaSorin Liaison Total",1
122,548,96.8,"DiaSorin Liaison Total",1
122,549,71,"DiaSorin Liaison Total",1
122,550,30,"DiaSorin Liaison Total",1
123,546,50.2,"LC-MS-MS",11
123,547,68.1,"LC-MS-MS",11
123,548,86.5,"LC-MS-MS",11
123,549,63.1,"LC-MS-MS",11
123,550,23.9,"LC-MS-MS",11
124,546,33.4,"IDS EIA",8
124,547,48.7,"IDS EIA",8
124,548,64.8,"IDS EIA",8
124,549,41.2,"IDS EIA",8
124,550,16.4,"IDS EIA",8
125,546,50.5,"LC-MS-MS",8
125,547,69,"LC-MS-MS",8
125,548,81.5,"LC-MS-MS",8
125,549,58.8,"LC-MS-MS",8
125,550,23.5,"LC-MS-MS",8
126,546,47,"Roche Vitamin D Total II",1
126,547,64,"Roche Vitamin D Total II",1
126,548,78,"Roche Vitamin D Total II",1
126,549,57,"Roche Vitamin D Total II",1
126,550,24,"Roche Vitamin D Total II",1
127,546,46.4,"LC-MS-MS",8
127,547,58.9,"LC-MS-MS",8
127,548,74.5,"LC-MS-MS",8
127,549,53.8,"LC-MS-MS",8
127,550,18.9,"LC-MS-MS",8
128,546,62.9,"DiaSorin Liaison Total",17
128,547,84.6,"DiaSorin Liaison Total",17
128,548,103,"DiaSorin Liaison Total",17
128,549,72.4,"DiaSorin Liaison Total",17
128,550,33,"DiaSorin Liaison Total",17
129,546,52,"Roche Total 25OHD",8
129,547,80,"Roche Total 25OHD",8
129,548,96,"Roche Total 25OHD",8
129,549,60,"Roche Total 25OHD",8
129,550,23,"Roche Total 25OHD",8
130,546,52,"Roche Vitamin D Total II",4
